scientificName,phyloTreeTipLabel,phyloTreeFileName,dynamicProperties,^ot:ottId,^ot:taxonLink,^skos:prefLabel,^ot:ottTaxonName,^ot:originalLabel
Solanum aviculare,Solanum aviculare,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum aviculare', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum aviculare', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",494825,"{'@tb:identifier.taxon': 632145, '@tb:identifier.taxonVariant': 847157, '@ubio': '457602', '@uniprot': '4114'}",,Solanum aviculare,Solanum aviculare
Solanum lyratum,Solanum lyratum,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum lyratum', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum lyratum', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",693272,"{'@tb:identifier.taxon': 209402, '@tb:identifier.taxonVariant': 278206, '@ubio': '5973434', '@uniprot': '230192'}",,Solanum lyratum,Solanum lyratum
Schultesianthus leucanthus,Schultesianthus leucanthus,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Schultesianthus leucanthus', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Schultesianthus leucanthus', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",960291,"{'@tb:identifier.taxon': 429038, '@tb:identifier.taxonVariant': 565252, '@ubio': '9155487', '@uniprot': '540831'}",,Schultesianthus leucanthus,Schultesianthus leucanthus
Solanum asperum,Solanum asperum,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum asperum', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum asperum', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",651350,"{'@tb:identifier.taxon': 555876, '@tb:identifier.taxonVariant': 736347, '@ubio': '3440695', '@uniprot': '681489'}",,Solanum asperum,Solanum asperum
Lycium sandwicense,Lycium sandwicense,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Lycium sandwicense', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Lycium sandwicense', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",194443,"{'@tb:identifier.taxon': 116740, '@tb:identifier.taxonVariant': 195092, '@ubio': '2653629', '@uniprot': '112880'}",,Lycium sandwicense,Lycium sandwicense
Mandragora officinarum,Mandragora officinarum,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Mandragora officinarum', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Mandragora officinarum', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",232461,"{'@tb:identifier.taxon': 59765, '@tb:identifier.taxonVariant': 132889, '@ubio': '2669861', '@uniprot': '33117'}",,Mandragora officinarum,Mandragora officinarum
Jaltomata herrerae,Jaltomata herrerae,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Jaltomata herrerae', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Jaltomata herrerae', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",1058971,"{'@tb:identifier.taxon': 570321, '@tb:identifier.taxonVariant': 790614, '@ubio': '5893823'}",,Jaltomata herrerae,Jaltomata herrerae
Solanum colombianum,Solanum colombianum,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum colombianum', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum colombianum', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",447372,"{'@tb:identifier.taxon': 278962, '@tb:identifier.taxonVariant': 332715, '@ubio': '5866284', '@uniprot': '317821'}",,Solanum colombianum,Solanum colombianum
Lycianthes multiflora,Lycianthes multiflora,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Lycianthes multiflora', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Lycianthes multiflora', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",339715,"{'@tb:identifier.taxon': 342855, '@tb:identifier.taxonVariant': 378922, '@ubio': '3440166', '@uniprot': '393156'}",,Lycianthes multiflora,Lycianthes multiflora
Nicotiana otophora,Nicotiana otophora,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Nicotiana otophora', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Nicotiana otophora', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",222781,"{'@tb:identifier.taxon': 50904, '@tb:identifier.taxonVariant': 120499, '@ubio': '3440274', '@uniprot': '4091'}",,Nicotiana otophora,Nicotiana otophora
Nolana mollis,Nolana mollis,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Nolana mollis', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Nolana mollis', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",1001624,"{'@tb:identifier.taxon': 95043, '@tb:identifier.taxonVariant': 174214, '@ubio': '5991345', '@uniprot': '84193'}",,Nolana mollis,Nolana mollis
Duboisia hopwoodii,Duboisia hopwoodii,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Duboisia hopwoodii', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Duboisia hopwoodii', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",434595,"{'@tb:identifier.taxon': 429012, '@tb:identifier.taxonVariant': 565205, '@ubio': '2669856', '@uniprot': '540800'}",,Duboisia hopwoodii,Duboisia hopwoodii
Solanum glabratum,Solanum glabratum,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum glabratum', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum glabratum', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",331175,"{'@tb:identifier.taxon': 546232, '@tb:identifier.taxonVariant': 724378, '@ubio': '9211955', '@uniprot': '666132'}",,Solanum glabratum,Solanum glabratum
Solanum felinum,Solanum felinum,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum felinum', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum felinum', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",835023,"{'@tb:identifier.taxon': 27178, '@tb:identifier.taxonVariant': 63457, '@ubio': '5974278', '@uniprot': '238981'}",,Solanum felinum,Solanum felinum
Melananthus guatemalensis,Melananthus guatemalensis,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Melananthus guatemalensis', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Melananthus guatemalensis', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",1011298,"{'@tb:identifier.taxon': 429024, '@tb:identifier.taxonVariant': 565235, '@ubio': '3440254', '@uniprot': '540816'}",,Melananthus guatemalensis,Melananthus guatemalensis
Lycianthes inaequilatera,Lycianthes inaequilatera,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Lycianthes inaequilatera', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Lycianthes inaequilatera', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",655930,"{'@tb:identifier.taxon': 35219, '@tb:identifier.taxonVariant': 81626, '@ubio': '3440175', '@uniprot': '362375'}",,Lycianthes inaequilatera,Lycianthes inaequilatera
Solanum centrale,Solanum centrale,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum centrale', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum centrale', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",361002,"{'@tb:identifier.taxon': 349405, '@tb:identifier.taxonVariant': 382896, '@ubio': '9233786', '@uniprot': '400990'}",,Solanum centrale,Solanum centrale
Solanum andreanum,Solanum andreanum,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum andreanum', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum andreanum', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",46930,"{'@tb:identifier.taxon': 276748, '@tb:identifier.taxonVariant': 330620, '@ubio': '3440806', '@uniprot': '315332'}",,Solanum andreanum,Solanum andreanum
Solanum bolivianum,Solanum bolivianum,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum bolivianum', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum bolivianum', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",1086161,"{'@tb:identifier.taxon': 604547, '@tb:identifier.taxonVariant': 806739, '@ubio': '3440419'}",,Solanum bolivianum,Solanum bolivianum
Solanum albicans,Solanum albicans,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum albicans', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum albicans', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",46928,"{'@tb:identifier.taxon': 276749, '@tb:identifier.taxonVariant': 330622, '@ubio': '5864184', '@uniprot': '315333'}",,Solanum albicans,Solanum albicans
Solanum elaeagnifolium,Solanum elaeagnifolium,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum elaeagnifolium', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum elaeagnifolium', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",399742,"{'@tb:identifier.taxon': 27175, '@tb:identifier.taxonVariant': 63452, '@ubio': '2653527', '@uniprot': '115664'}",,Solanum elaeagnifolium,Solanum elaeagnifolium
Lycianthes beckneriana,Lycianthes beckneriana,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Lycianthes beckneriana', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Lycianthes beckneriana', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",914551,"{'@tb:identifier.taxon': 342846, '@tb:identifier.taxonVariant': 378913, '@ubio': '9152363', '@uniprot': '393147'}",,Lycianthes beckneriana,Lycianthes beckneriana
