scientificName,phyloTreeTipLabel,phyloTreeFileName,^skos:prefLabel,^ot:originalLabel,^ot:ottTaxonName,^ot:taxonLink,^ot:ottId
Solanum yungasense,Solanum yungasense,ot_1003_Tr100305.nex,-,Solanum yungasense,Solanum yungasense,"{'@tb:identifier.taxon': 278978, '@tb:identifier.taxonVariant': 332744, '@ubio': '3440532', '@uniprot': '317837'}",649194
Solanum laxissimum,Solanum laxissimum,ot_1003_Tr100305.nex,-,Solanum laxissimum,Solanum laxissimum,"{'@tb:identifier.taxon': 87048, '@tb:identifier.taxonVariant': 165811, '@ubio': '5864615', '@uniprot': '73573'}",887236
Nicotiana solanifolia,Nicotiana solanifolia,ot_1003_Tr100305.nex,-,Nicotiana solanifolia,Nicotiana solanifolia,"{'@tb:identifier.taxon': 121199, '@tb:identifier.taxonVariant': 199007, '@ubio': '5845926', '@uniprot': '118714'}",210467
Solanum pungetium,Solanum pungetium,ot_1003_Tr100305.nex,-,Solanum pungetium,Solanum pungetium,"{'@tb:identifier.taxon': 619589, '@tb:identifier.taxonVariant': 829668, '@ubio': '9109568'}",192042
Nicotiana rotundifolia,Nicotiana rotundifolia,ot_1003_Tr100305.nex,-,Nicotiana rotundifolia,Nicotiana rotundifolia,"{'@tb:identifier.taxon': 184581, '@tb:identifier.taxonVariant': 257211, '@ubio': '5866201', '@uniprot': '200310'}",232354
Nolana coronata,Nolana coronata,ot_1003_Tr100305.nex,-,Nolana coronata,Nolana coronata,"{'@tb:identifier.taxon': 95029, '@tb:identifier.taxonVariant': 174200, '@ubio': '5957954', '@uniprot': '84179'}",849815
Hyoscyamus niger,Hyoscyamus niger,ot_1003_Tr100305.nex,-,Hyoscyamus niger,Hyoscyamus niger,"{'@tb:identifier.taxon': 50897, '@tb:identifier.taxonVariant': 120477, '@ubio': '2653605', '@uniprot': '4079'}",822716
Solanum stenophyllidium,Solanum stenophyllidium,ot_1003_Tr100305.nex,-,Solanum stenophyllidium,Solanum stenophyllidium,"{'@tb:identifier.taxon': 27138, '@tb:identifier.taxonVariant': 113547, '@ubio': '3440624', '@uniprot': '205531'}",311882
Solanum unilobum,Solanum unilobum,ot_1003_Tr100305.nex,-,Solanum unilobum,Solanum unilobum,"{'@tb:identifier.taxon': 40233, '@tb:identifier.taxonVariant': 93390, '@ubio': '5885458', '@uniprot': '265420'}",985301
Solanum occultum,Solanum occultum,ot_1003_Tr100305.nex,-,Solanum occultum,Solanum occultum,"{'@tb:identifier.taxon': 40213, '@tb:identifier.taxonVariant': 93345, '@ubio': '5993466', '@uniprot': '265406'}",1035627
Solanum nobile,Solanum nobile,ot_1003_Tr100305.nex,-,Solanum nobile,Solanum nobile,"{'@tb:identifier.taxon': 349416, '@tb:identifier.taxonVariant': 382909, '@ubio': '8637656', '@uniprot': '401001'}",193890
Physalis cordata,Physalis cordata,ot_1003_Tr100305.nex,-,Physalis cordata,Physalis cordata,"{'@tb:identifier.taxon': 22163, '@tb:identifier.taxonVariant': 51535, '@ubio': '2653664', '@uniprot': '304142'}",414764
Withania coagulans,Withania coagulans,ot_1003_Tr100305.nex,-,Withania coagulans,Withania coagulans,"{'@tb:identifier.taxon': 168564, '@tb:identifier.taxonVariant': 243053, '@ubio': '5863705', '@uniprot': '180581'}",819596
Solanum talarense,Solanum talarense,ot_1003_Tr100305.nex,-,Solanum talarense,Solanum talarense,"{'@tb:identifier.taxon': 604570, '@tb:identifier.taxonVariant': 806762, '@ubio': '9161193'}",715560
Nierembergia linariifolia,Nierembergia linariifolia,ot_1003_Tr100305.nex,-,Nierembergia linariifolia,Nierembergia linariifolia,"{'@tb:identifier.taxon': 245745, '@tb:identifier.taxonVariant': 465959, '@ubio': '9190227', '@uniprot': '274375'}",474441
Lycium californicum,Lycium californicum,ot_1003_Tr100305.nex,-,Lycium californicum,Lycium californicum,"{'@tb:identifier.taxon': 116728, '@tb:identifier.taxonVariant': 195084, '@ubio': '2653615', '@uniprot': '112867'}",40052
Solanum drymophilum,Solanum drymophilum,ot_1003_Tr100305.nex,-,Solanum drymophilum,Solanum drymophilum,"{'@tb:identifier.taxon': 27172, '@tb:identifier.taxonVariant': 63445, '@ubio': '2653560', '@uniprot': '205548'}",836443
Solanum gardneri,Solanum gardneri,ot_1003_Tr100305.nex,-,Solanum gardneri,Solanum gardneri,"{'@tb:identifier.taxon': 604534, '@tb:identifier.taxonVariant': 806726, '@ubio': '3440736'}",414058
,Lycium microphyllum,ot_1003_Tr100305.nex,-,Lycium microphyllum,-,"{'@tb:identifier.taxon': 619545, '@tb:identifier.taxonVariant': 829624, '@ubio': '9119163'}",-
Jaltomata sagastegui,Jaltomata sagastegui,ot_1003_Tr100305.nex,-,Jaltomata sagastegui,Jaltomata sagastegui,"{'@tb:identifier.taxon': 14827, '@tb:identifier.taxonVariant': 34851, '@ubio': '8742133'}",532693
Lycianthes dejecta,Lycianthes dejecta,ot_1003_Tr100305.nex,-,Lycianthes dejecta,Lycianthes dejecta,"{'@tb:identifier.taxon': 326601, '@tb:identifier.taxonVariant': 368164, '@ubio': '3440194', '@uniprot': '374035'}",626040
Nolana baccata,Nolana baccata,ot_1003_Tr100305.nex,-,Nolana baccata,Nolana baccata,"{'@tb:identifier.taxon': 395093, '@tb:identifier.taxonVariant': 405825, '@ubio': '9382193', '@uniprot': '459189'}",131405
Capsicum coccineum,Capsicum coccineum,ot_1003_Tr100305.nex,-,Capsicum coccineum,Capsicum coccineum,"{'@tb:identifier.taxon': 342839, '@tb:identifier.taxonVariant': 378907, '@ubio': '3439931', '@uniprot': '393140'}",914545
