otuId,scientificName,phyloTreeTipLabel,phyloTreeFileName,dynamicProperties,^ot:ottTaxonName,^ot:ottId,^ot:originalLabel
otu331,Cyornis poliogenys,Cyornis poliogenys,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Cyornis poliogenys', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Cyornis poliogenys,727915,Cyornis poliogenys
otu3310,Periparus rubidiventris,Periparus rubidiventris,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Periparus rubidiventris', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Periparus rubidiventris,258796,Periparus rubidiventris
otu3311,Periparus rufonuchalis,Periparus rufonuchalis,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Periparus rufonuchalis', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Periparus rufonuchalis,573493,Periparus rufonuchalis
otu3312,Melanochlora sultanea,Melanochlora sultanea,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Melanochlora sultanea', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Melanochlora sultanea,814750,Melanochlora sultanea
otu3313,Cephalopyrus flammiceps,Cephalopyrus flammiceps,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Cephalopyrus flammiceps', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Cephalopyrus flammiceps,124085,Cephalopyrus flammiceps
otu3314,Anthoscopus minutus,Anthoscopus minutus,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Anthoscopus minutus', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Anthoscopus minutus,73144,Anthoscopus minutus
otu3315,Anthoscopus parvulus,Anthoscopus parvulus,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Anthoscopus parvulus', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Anthoscopus parvulus,3598714,Anthoscopus parvulus
otu3316,Remiz consobrinus,Remiz consobrinus,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Remiz consobrinus', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Remiz consobrinus,148779,Remiz consobrinus
otu3317,Remiz coronatus,Remiz coronatus,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Remiz coronatus', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Remiz coronatus,3598708,Remiz coronatus
otu3318,Remiz pendulinus,Remiz pendulinus,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Remiz pendulinus', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Remiz pendulinus,746137,Remiz pendulinus
otu3319,Anthoscopus musculus,Anthoscopus musculus,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Anthoscopus musculus', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Anthoscopus musculus,798100,Anthoscopus musculus
otu332,Cyornis tickelliae,Cyornis tickelliae,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Cyornis tickelliae', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Cyornis tickelliae,3598179,Cyornis tickelliae
